codigo;dist_centro;nome;longitude;latitude;peso;dist_cap
3535200;0;Palmeira d'Oeste;50,761944;-20,416389;10564;549
3535309;52,747972;Palmital;50,2175;-22,788889;950;376
3535408;30,07783;Panorama;51,859722;-21,356389;1600;590
3535507;32,056364;Paraguaçu Paulista;50,575833;-22,412778;5271;423
3535606;41,477303;Paraibuna;45,662222;-23,386111;440;101
3535705;68,361559;Paraíso;48,773611;-21,016389;258;356
3535804;71,953874;Paranapanema;48,722778;-23,388611;4370;214
3535903;39,371555;Paranapuã;50,585833;-20,103333;3749;559
3536000;58,831545;Parapuã;50,771667;-21,768056;440;469
3536109;37,872507;Pardinho;48,373611;-23,081111;1640;185
3536208;12,491168;Pariquera-Açu;47,881111;-24,715;200;181
3536257;24,267298;Parisi;50,014722;-20,303611;2690;501
3536307;0;Patrocínio Paulista;47,281667;-20,639444;5719;329
3536406;27,84028;Paulicéia;51,830556;-21,317778;1950;589
3536505;18,699099;Paulínia;47,154167;-22,761111;97;102
3536570;39,341137;Paulistânia;49,402778;-22,578333;815;303
3536604;0;Paulo de Faria;49,383333;-20,030833;4500;482
3536703;56,228664;Pederneiras;48,775;-22,351667;1050;256
3536802;20,372126;Pedra Bela;46,443056;-22,793056;1680;86
3536901;14,767438;Pedranópolis;50,110278;-20,2475;6173;512
3537008;25,263255;Pedregulho;47,476667;-20,256944;2609;375
3537107;43,623187;Pedreira;46,901389;-22,741944;930;93
3537156;76,305611;Pedrinhas Paulista;50,793889;-22,815;300;433
3537206;23,021727;Pedro de Toledo;47,232778;-24,274722;157;101
3537305;26,173855;Penápolis;50,0775;-21,419722;5190;425
3537404;0;Pereira Barreto;51,109167;-20,638333;5750;563
3537503;7,6427659;Pereiras;47,975833;-23,076111;2000;147
3537602;46,968377;Peruíbe;46,998333;-24,32;45;93
3537701;76,909797;Piacatu;50,599167;-21,592222;600;462
3537800;65,094827;Piedade;47,427778;-23,711944;2543;83
3537909;42,213504;Pilar do Sul;47,716389;-23,813056;5080;114
3538006;14,895253;Pindamonhangaba;45,461667;-22,923889;4987;139
3538105;45,179231;Pindorama;48,907222;-21,185833;434;351
3538204;19,822785;Pinhalzinho;46,590556;-22,779444;1800;85
3538303;12,639417;Piquerobi;51,728611;-21,8675;2215;555
3538501;55,849978;Piquete;45,176111;-22,613611;1940;182
3538600;21,977802;Piracaia;46,358056;-23,053889;4000;62
3538709;0;Piracicaba;47,649167;-22,725278;5575;138
3538808;0;Piraju;49,383889;-23,193611;4780;284
3538907;31,237736;Pirajuí;49,457222;-21,998611;1850;337
3539004;24,354598;Pirangi;48,657778;-21,091389;350;343
3539103;33,732194;Pirapora do Bom Jesus;47,002222;-23,396944;0;41
3539202;36,826469;Pirapozinho;51,5;-22,275278;4700;519
3539301;22,453544;Pirassununga;47,425833;-21,996111;2700;190
3539400;79,379653;Piratininga;49,134722;-22,412778;580;285
